 ,Area,Mean,Min,Max,X,Y,Slice
1,0,69,69,69,1596,783,1
2,0,77,77,77,1590,770,2
3,0,73,73,73,1584,774,3
4,0,76,76,76,1574,772,4
5,0,80,80,80,1568,770,5
6,0,71,71,71,1542,762,6
7,0,77,77,77,1540,752,7
8,0,78,78,78,1532,748,8
9,0,82,82,82,1516,740,9
10,0,82,82,82,1502,728,10
11,0,80,80,80,1490,720,11
12,0,79,79,79,1478,708,12
13,0,90,90,90,1460,694,13
14,0,90,90,90,1448,680,14
15,0,90,90,90,1432,664,15
16,0,84,84,84,1422,652,16
17,0,80,80,80,1406,632,17
18,0,75,75,75,1394,618,18
19,0,73,73,73,1386,604,19
20,0,74,74,74,1368,584,20
21,0,70,70,70,1360,570,21
22,0,73,73,73,1348,550,22
23,0,71,71,71,1338,540,23
24,0,71,71,71,1328,526,24
25,0,73,73,73,1316,510,25
26,0,75,75,75,1308,500,26
27,0,75,75,75,1296,484,27
28,0,74,74,74,1286,472,28
29,0,75,75,75,1278,464,29
30,0,78,78,78,1268,450,30
31,0,76,76,76,1254,438,31
32,0,76,76,76,1246,424,32
33,0,74,74,74,1238,412,33
34,0,74,74,74,1228,396,34
35,0,78,78,78,1214,392,35
36,0,78,78,78,1210,382,36
37,0,78,78,78,1198,370,37
38,0,80,80,80,1194,358,38
39,0,79,79,79,1184,350,39
40,0,78,78,78,1178,340,40
41,0,78,78,78,1168,332,41
42,0,81,81,81,1158,324,42
43,0,78,78,78,1152,314,43
44,0,81,81,81,1138,304,44
45,0,77,77,77,1136,296,45
46,0,80,80,80,1126,286,46
47,0,78,78,78,1120,282,47
48,0,78,78,78,1114,274,48
49,0,79,79,79,1104,264,49
50,0,80,80,80,1094,256,50
51,0,74,74,74,1090,252,51
52,0,77,77,77,1080,244,52
53,0,77,77,77,1074,234,53
54,0,77,77,77,1064,228,54
55,0,78,78,78,1060,226,55
56,0,80,80,80,1052,216,56
57,0,80,80,80,1046,210,57
58,0,80,80,80,1040,204,58
59,0,82,82,82,1028,196,59
60,0,83,83,83,1026,192,60
61,0,80,80,80,1018,186,61
62,0,83,83,83,1010,180,62
63,0,80,80,80,1006,172,63
64,0,81,81,81,996,170,64
65,0,82,82,82,988,166,65
66,0,81,81,81,982,158,66
67,0,87,87,87,976,154,67
68,0,85,85,85,970,152,68
69,0,84,84,84,964,146,69
70,0,83,83,83,958,146,70
71,0,86,86,86,950,140,71
72,0,91,91,91,942,132,72
73,0,86,86,86,944,134,73
74,0,88,88,88,932,128,74
75,0,88,88,88,926,124,75
76,0,86,86,86,920,122,76
77,0,87,87,87,916,116,77
78,0,87,87,87,908,116,78
79,0,93,93,93,900,110,79
80,0,90,90,90,896,110,80
81,0,94,94,94,888,102,81
82,0,90,90,90,886,104,82
83,0,94,94,94,874,98,83
84,0,94,94,94,874,98,84
85,0,95,95,95,864,96,85
86,0,97,97,97,858,94,86
87,0,99,99,99,852,92,87
88,0,98,98,98,848,90,88
89,0,99,99,99,842,88,89
90,0,102,102,102,836,86,90
91,0,111,111,111,826,84,91
92,0,107,107,107,824,86,92
93,0,114,114,114,812,76,93
94,0,107,107,107,814,82,94
95,0,104,104,104,806,82,95
96,0,107,107,107,800,78,96
97,0,106,106,106,794,76,97
98,0,102,102,102,788,80,98
99,0,102,102,102,782,78,99
100,0,104,104,104,774,78,100
101,0,104,104,104,770,78,101
102,0,104,104,104,762,80,102
103,0,103,103,103,760,78,103
104,0,104,104,104,758,76,104
105,0,107,107,107,746,76,105
106,0,102,102,102,744,78,106
107,0,107,107,107,736,76,107
108,0,98,98,98,732,80,108
109,0,101,101,101,724,78,109
110,0,106,106,106,716,76,110
111,0,100,100,100,714,80,111
112,0,103,103,103,706,78,112
113,0,99,99,99,704,82,113
114,0,100,100,100,694,86,114
115,0,102,102,102,688,82,115
116,0,96,96,96,686,88,116
117,0,98,98,98,674,88,117
118,0,94,94,94,676,92,118
119,0,94,94,94,668,92,119
120,0,94,94,94,660,96,120
121,0,94,94,94,654,96,121
122,0,93,93,93,648,96,122
123,0,92,92,92,644,98,123
124,0,90,90,90,642,100,124
125,0,89,89,89,632,106,125
126,0,89,89,89,626,106,126
127,0,92,92,92,614,110,127
128,0,86,86,86,616,110,128
129,0,89,89,89,604,112,129
130,0,84,84,84,604,118,130
131,0,84,84,84,598,120,131
132,0,86,86,86,588,124,132
133,0,87,87,87,582,128,133
134,0,87,87,87,576,130,134
135,0,80,80,80,574,134,135
136,0,90,90,90,562,132,136
137,0,80,80,80,560,142,137
138,0,80,80,80,552,146,138
139,0,83,83,83,546,148,139
140,0,82,82,82,540,152,140
141,0,81,81,81,534,158,141
142,0,82,82,82,526,162,142
143,0,80,80,80,520,166,143
144,0,78,78,78,518,174,144
145,0,80,80,80,506,174,145
146,0,77,77,77,504,182,146
147,0,78,78,78,494,188,147
148,0,75,75,75,490,190,148
149,0,80,80,80,480,196,149
150,0,73,73,73,478,202,150
151,0,72,72,72,472,206,151
